Time,O,H,L,C,V
14/10/2019 17:00:00,1.10295,1.10307,1.10251,1.10259,1554
14/10/2019 18:00:00,1.10259,1.10326,1.10253,1.10304,1393
14/10/2019 19:00:00,1.10305,1.10315,1.10237,1.10251,1661
14/10/2019 20:00:00,1.10245,1.10265,1.10228,1.1026,1391
14/10/2019 21:00:00,1.10271,1.10296,1.10226,1.1024,1548
14/10/2019 22:00:00,1.1024,1.10288,1.10237,1.10278,1185
14/10/2019 23:00:00,1.10279,1.10284,1.1025,1.10259,1631
15/10/2019 00:00:00,1.1026,1.1027,1.10215,1.10255,1891
15/10/2019 01:00:00,1.10254,1.10324,1.1025,1.103,2582
15/10/2019 02:00:00,1.10301,1.10305,1.10255,1.10267,1461
15/10/2019 03:00:00,1.10268,1.10323,1.10266,1.10322,1470
15/10/2019 04:00:00,1.10321,1.10334,1.1027,1.10285,1442
15/10/2019 05:00:00,1.10285,1.10332,1.10268,1.10326,1763
15/10/2019 06:00:00,1.10327,1.1046,1.10255,1.10394,6253
15/10/2019 07:00:00,1.10393,1.10393,1.10128,1.10208,7869
15/10/2019 08:00:00,1.10207,1.10305,1.10186,1.10267,4779
15/10/2019 09:00:00,1.10268,1.10268,1.10066,1.10131,6525
15/10/2019 10:00:00,1.1013,1.10202,1.10086,1.1016,3979
15/10/2019 11:00:00,1.10159,1.1017,1.10026,1.10058,5052
15/10/2019 12:00:00,1.10058,1.10094,1.09956,1.10052,5016
